Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Combined Load
0.64,784.0,343.0,220.5,3.5,3,0.0,0,27.34
0.64,784.0,343.0,220.5,3.5,4,0.0,0,27.52
0.64,784.0,343.0,220.5,3.5,5,0.0,0,27.230000000000004
0.62,808.5,367.5,220.5,3.5,2,0.0,0,20.67
0.62,808.5,367.5,220.5,3.5,3,0.0,0,20.71
0.62,808.5,367.5,220.5,3.5,4,0.0,0,20.53
0.62,808.5,367.5,220.5,3.5,5,0.0,0,20.54
0.98,514.5,294.0,110.25,7.0,2,0.1,1,51.05
0.98,514.5,294.0,110.25,7.0,3,0.1,1,51.0
0.98,514.5,294.0,110.25,7.0,4,0.1,1,51.07
0.98,514.5,294.0,110.25,7.0,5,0.1,1,50.879999999999995
0.9,563.5,318.5,122.5,7.0,2,0.1,1,61.95
0.9,563.5,318.5,122.5,7.0,3,0.1,1,59.74
0.9,563.5,318.5,122.5,7.0,4,0.1,1,58.72
0.9,563.5,318.5,122.5,7.0,5,0.1,1,62.42
0.86,588.0,294.0,147.0,7.0,2,0.1,1,57.17
0.86,588.0,294.0,147.0,7.0,3,0.1,1,52.510000000000005
0.86,588.0,294.0,147.0,7.0,4,0.1,1,53.400000000000006
0.86,588.0,294.0,147.0,7.0,5,0.1,1,57.0
0.82,612.5,318.5,147.0,7.0,2,0.1,1,50.84
0.82,612.5,318.5,147.0,7.0,3,0.1,1,48.94
0.82,612.5,318.5,147.0,7.0,4,0.1,1,48.15
0.82,612.5,318.5,147.0,7.0,5,0.1,1,51.09
0.79,637.0,343.0,147.0,7.0,2,0.1,1,77.24000000000001
0.79,637.0,343.0,147.0,7.0,3,0.1,1,72.4
0.79,637.0,343.0,147.0,7.0,4,0.1,1,71.33
0.79,637.0,343.0,147.0,7.0,5,0.1,1,79.27
0.76,661.5,416.5,122.5,7.0,2,0.1,1,66.83
0.76,661.5,416.5,122.5,7.0,3,0.1,1,66.19
0.76,661.5,416.5,122.5,7.0,4,0.1,1,67.08
0.76,661.5,416.5,122.5,7.0,5,0.1,1,65.88
0.74,686.0,245.0,220.5,3.5,2,0.1,1,23.79
0.74,686.0,245.0,220.5,3.5,3,0.1,1,24.14
0.74,686.0,245.0,220.5,3.5,4,0.1,1,23.84
0.74,686.0,245.0,220.5,3.5,5,0.1,1,24.09
0.71,710.5,269.5,220.5,3.5,2,0.1,1,24.51
0.71,710.5,269.5,220.5,3.5,3,0.1,1,25.08
0.71,710.5,269.5,220.5,3.5,4,0.1,1,24.57
0.71,710.5,269.5,220.5,3.5,5,0.1,1,25.02
0.69,735.0,294.0,220.5,3.5,2,0.1,1,25.39
0.69,735.0,294.0,220.5,3.5,3,0.1,1,25.740000000000002
0.69,735.0,294.0,220.5,3.5,4,0.1,1,25.39
0.69,735.0,294.0,220.5,3.5,5,0.1,1,25.61
0.66,759.5,318.5,220.5,3.5,2,0.1,1,25.58
0.66,759.5,318.5,220.5,3.5,3,0.1,1,25.41
0.66,759.5,318.5,220.5,3.5,4,0.1,1,25.58
0.66,759.5,318.5,220.5,3.5,5,0.1,1,25.34
0.64,784.0,343.0,220.5,3.5,2,0.1,1,34.78
0.64,784.0,343.0,220.5,3.5,3,0.1,1,34.629999999999995
0.64,784.0,343.0,220.5,3.5,4,0.1,1,34.76
0.64,784.0,343.0,220.5,3.5,5,0.1,1,34.53
0.62,808.5,367.5,220.5,3.5,2,0.1,1,27.3
0.62,808.5,367.5,220.5,3.5,3,0.1,1,27.47
0.62,808.5,367.5,220.5,3.5,4,0.1,1,27.259999999999998
0.62,808.5,367.5,220.5,3.5,5,0.1,1,27.29
0.98,514.5,294.0,110.25,7.0,2,0.1,2,50.239999999999995
0.98,514.5,294.0,110.25,7.0,3,0.1,2,49.94
0.98,514.5,294.0,110.25,7.0,4,0.1,2,50.26
0.98,514.5,294.0,110.25,7.0,5,0.1,2,50.14
0.9,563.5,318.5,122.5,7.0,2,0.1,2,61.42
0.9,563.5,318.5,122.5,7.0,3,0.1,2,59.120000000000005
0.9,563.5,318.5,122.5,7.0,4,0.1,2,58.19
0.9,563.5,318.5,122.5,7.0,5,0.1,2,62.1
0.86,588.0,294.0,147.0,7.0,2,0.1,2,57.39
0.86,588.0,294.0,147.0,7.0,3,0.1,2,52.65
0.86,588.0,294.0,147.0,7.0,4,0.1,2,53.69
0.86,588.0,294.0,147.0,7.0,5,0.1,2,57.26
0.82,612.5,318.5,147.0,7.0,2,0.1,2,51.129999999999995
0.82,612.5,318.5,147.0,7.0,3,0.1,2,49.25
0.82,612.5,318.5,147.0,7.0,4,0.1,2,48.47
0.82,612.5,318.5,147.0,7.0,5,0.1,2,51.58
0.79,637.0,343.0,147.0,7.0,2,0.1,2,76.72
0.79,637.0,343.0,147.0,7.0,3,0.1,2,71.88
0.79,637.0,343.0,147.0,7.0,4,0.1,2,70.84
0.79,637.0,343.0,147.0,7.0,5,0.1,2,78.89
0.76,661.5,416.5,122.5,7.0,2,0.1,2,67.07
0.76,661.5,416.5,122.5,7.0,3,0.1,2,66.47
0.76,661.5,416.5,122.5,7.0,4,0.1,2,67.28999999999999
0.76,661.5,416.5,122.5,7.0,5,0.1,2,66.19
0.74,686.0,245.0,220.5,3.5,2,0.1,2,23.810000000000002
0.74,686.0,245.0,220.5,3.5,3,0.1,2,24.18
0.74,686.0,245.0,220.5,3.5,4,0.1,2,23.89
0.74,686.0,245.0,220.5,3.5,5,0.1,2,24.24
0.71,710.5,269.5,220.5,3.5,2,0.1,2,24.310000000000002
0.71,710.5,269.5,220.5,3.5,3,0.1,2,24.83
0.71,710.5,269.5,220.5,3.5,4,0.1,2,24.35
0.71,710.5,269.5,220.5,3.5,5,0.1,2,24.89
0.69,735.0,294.0,220.5,3.5,2,0.1,2,24.65
0.69,735.0,294.0,220.5,3.5,3,0.1,2,25.0
0.69,735.0,294.0,220.5,3.5,4,0.1,2,24.64
0.69,735.0,294.0,220.5,3.5,5,0.1,2,25.0
0.66,759.5,318.5,220.5,3.5,2,0.1,2,26.31
0.66,759.5,318.5,220.5,3.5,3,0.1,2,26.17
0.66,759.5,318.5,220.5,3.5,4,0.1,2,26.33
0.66,759.5,318.5,220.5,3.5,5,0.1,2,26.17
0.64,784.0,343.0,220.5,3.5,2,0.1,2,34.64
0.64,784.0,343.0,220.5,3.5,3,0.1,2,34.519999999999996
0.64,784.0,343.0,220.5,3.5,4,0.1,2,34.66
0.64,784.0,343.0,220.5,3.5,5,0.1,2,34.49
0.62,808.5,367.5,220.5,3.5,2,0.1,2,27.25
0.62,808.5,367.5,220.5,3.5,3,0.1,2,27.57
0.62,808.5,367.5,220.5,3.5,4,0.1,2,27.240000000000002
0.62,808.5,367.5,220.5,3.5,5,0.1,2,27.28
0.98,514.5,294.0,110.25,7.0,2,0.1,3,49.96
0.98,514.5,294.0,110.25,7.0,3,0.1,3,50.42
0.98,514.5,294.0,110.25,7.0,4,0.1,3,49.95
0.98,514.5,294.0,110.25,7.0,5,0.1,3,50.49
0.9,563.5,318.5,122.5,7.0,2,0.1,3,62.21
0.9,563.5,318.5,122.5,7.0,3,0.1,3,61.86
0.9,563.5,318.5,122.5,7.0,4,0.1,3,59.7
0.9,563.5,318.5,122.5,7.0,5,0.1,3,58.72
0.86,588.0,294.0,147.0,7.0,2,0.1,3,57.14
0.86,588.0,294.0,147.0,7.0,3,0.1,3,57.480000000000004
0.86,588.0,294.0,147.0,7.0,4,0.1,3,52.79
0.86,588.0,294.0,147.0,7.0,5,0.1,3,53.86
0.82,612.5,318.5,147.0,7.0,2,0.1,3,51.61
0.82,612.5,318.5,147.0,7.0,3,0.1,3,51.379999999999995
0.82,612.5,318.5,147.0,7.0,4,0.1,3,49.52
0.82,612.5,318.5,147.0,7.0,5,0.1,3,48.8
0.79,637.0,343.0,147.0,7.0,2,0.1,3,78.9
0.79,637.0,343.0,147.0,7.0,3,0.1,3,76.69999999999999
0.79,637.0,343.0,147.0,7.0,4,0.1,3,72.07
0.79,637.0,343.0,147.0,7.0,5,0.1,3,70.99000000000001
0.76,661.5,416.5,122.5,7.0,2,0.1,3,66.37
0.76,661.5,416.5,122.5,7.0,3,0.1,3,67.39
0.76,661.5,416.5,122.5,7.0,4,0.1,3,66.81
0.76,661.5,416.5,122.5,7.0,5,0.1,3,67.74000000000001
0.74,686.0,245.0,220.5,3.5,2,0.1,3,23.990000000000002
0.74,686.0,245.0,220.5,3.5,3,0.1,3,23.7
0.74,686.0,245.0,220.5,3.5,4,0.1,3,24.0
0.74,686.0,245.0,220.5,3.5,5,0.1,3,23.87
0.71,710.5,269.5,220.5,3.5,2,0.1,3,24.91
0.71,710.5,269.5,220.5,3.5,3,0.1,3,24.45
0.71,710.5,269.5,220.5,3.5,4,0.1,3,24.98
0.71,710.5,269.5,220.5,3.5,5,0.1,3,24.57
0.69,735.0,294.0,220.5,3.5,2,0.1,3,25.66
0.69,735.0,294.0,220.5,3.5,3,0.1,3,25.43
0.69,735.0,294.0,220.5,3.5,4,0.1,3,25.77
0.69,735.0,294.0,220.5,3.5,5,0.1,3,25.54
0.66,759.5,318.5,220.5,3.5,2,0.1,3,25.05
0.66,759.5,318.5,220.5,3.5,3,0.1,3,25.299999999999997
0.66,759.5,318.5,220.5,3.5,4,0.1,3,25.119999999999997
0.66,759.5,318.5,220.5,3.5,5,0.1,3,25.439999999999998
0.64,784.0,343.0,220.5,3.5,2,0.1,3,34.3
0.64,784.0,343.0,220.5,3.5,3,0.1,3,34.54
0.64,784.0,343.0,220.5,3.5,4,0.1,3,34.49
0.64,784.0,343.0,220.5,3.5,5,0.1,3,34.65
0.62,808.5,367.5,220.5,3.5,2,0.1,3,26.77
0.62,808.5,367.5,220.5,3.5,3,0.1,3,26.86
0.62,808.5,367.5,220.5,3.5,4,0.1,3,26.85
0.62,808.5,367.5,220.5,3.5,5,0.1,3,26.62
0.98,514.5,294.0,110.25,7.0,2,0.1,4,50.29
0.98,514.5,294.0,110.25,7.0,3,0.1,4,49.95
0.98,514.5,294.0,110.25,7.0,4,0.1,4,50.22
0.98,514.5,294.0,110.25,7.0,5,0.1,4,50.19
0.9,563.5,318.5,122.5,7.0,2,0.1,4,58.4
0.9,563.5,318.5,122.5,7.0,3,0.1,4,61.959999999999994
0.9,563.5,318.5,122.5,7.0,4,0.1,4,61.69
0.9,563.5,318.5,122.5,7.0,5,0.1,4,59.71
0.86,588.0,294.0,147.0,7.0,2,0.1,4,53.61
0.86,588.0,294.0,147.0,7.0,3,0.1,4,57.13
0.86,588.0,294.0,147.0,7.0,4,0.1,4,57.39
0.86,588.0,294.0,147.0,7.0,5,0.1,4,52.84
0.82,612.5,318.5,147.0,7.0,2,0.1,4,48.41
0.82,612.5,318.5,147.0,7.0,3,0.1,4,51.41
0.82,612.5,318.5,147.0,7.0,4,0.1,4,51.16
0.82,612.5,318.5,147.0,7.0,5,0.1,4,49.4
0.79,637.0,343.0,147.0,7.0,2,0.1,4,71.11
0.79,637.0,343.0,147.0,7.0,3,0.1,4,79.19
0.79,637.0,343.0,147.0,7.0,4,0.1,4,77.31
0.79,637.0,343.0,147.0,7.0,5,0.1,4,72.39
0.76,661.5,416.5,122.5,7.0,2,0.1,4,67.19
0.76,661.5,416.5,122.5,7.0,3,0.1,4,66.0
0.76,661.5,416.5,122.5,7.0,4,0.1,4,66.98
0.76,661.5,416.5,122.5,7.0,5,0.1,4,66.36
0.74,686.0,245.0,220.5,3.5,2,0.1,4,23.28
0.74,686.0,245.0,220.5,3.5,3,0.1,4,23.509999999999998
0.74,686.0,245.0,220.5,3.5,4,0.1,4,23.28
0.74,686.0,245.0,220.5,3.5,5,0.1,4,23.67
0.71,710.5,269.5,220.5,3.5,2,0.1,4,24.33
0.71,710.5,269.5,220.5,3.5,3,0.1,4,24.799999999999997
0.71,710.5,269.5,220.5,3.5,4,0.1,4,24.32
0.71,710.5,269.5,220.5,3.5,5,0.1,4,24.92
0.69,735.0,294.0,220.5,3.5,2,0.1,4,25.47
0.69,735.0,294.0,220.5,3.5,3,0.1,4,25.71
0.69,735.0,294.0,220.5,3.5,4,0.1,4,25.490000000000002
0.69,735.0,294.0,220.5,3.5,5,0.1,4,25.93
0.66,759.5,318.5,220.5,3.5,2,0.1,4,26.299999999999997
0.66,759.5,318.5,220.5,3.5,3,0.1,4,26.09
0.66,759.5,318.5,220.5,3.5,4,0.1,4,26.33
0.66,759.5,318.5,220.5,3.5,5,0.1,4,26.259999999999998
0.64,784.0,343.0,220.5,3.5,2,0.1,4,34.64
0.64,784.0,343.0,220.5,3.5,3,0.1,4,34.44
0.64,784.0,343.0,220.5,3.5,4,0.1,4,34.74
0.64,784.0,343.0,220.5,3.5,5,0.1,4,34.64
0.62,808.5,367.5,220.5,3.5,2,0.1,4,27.22
0.62,808.5,367.5,220.5,3.5,3,0.1,4,27.38
0.62,808.5,367.5,220.5,3.5,4,0.1,4,27.28
0.62,808.5,367.5,220.5,3.5,5,0.1,4,27.47
0.98,514.5,294.0,110.25,7.0,2,0.1,5,49.99
0.98,514.5,294.0,110.25,7.0,3,0.1,5,50.31
0.98,514.5,294.0,110.25,7.0,4,0.1,5,49.91
0.98,514.5,294.0,110.25,7.0,5,0.1,5,50.44
0.9,563.5,318.5,122.5,7.0,2,0.1,5,59.65
0.9,563.5,318.5,122.5,7.0,3,0.1,5,58.599999999999994
0.9,563.5,318.5,122.5,7.0,4,0.1,5,62.480000000000004
0.9,563.5,318.5,122.5,7.0,5,0.1,5,62.03
0.86,588.0,294.0,147.0,7.0,2,0.1,5,52.85
0.86,588.0,294.0,147.0,7.0,3,0.1,5,53.78
0.86,588.0,294.0,147.0,7.0,4,0.1,5,57.4
0.86,588.0,294.0,147.0,7.0,5,0.1,5,57.730000000000004
0.82,612.5,318.5,147.0,7.0,2,0.1,5,49.480000000000004
0.82,612.5,318.5,147.0,7.0,3,0.1,5,48.66
0.82,612.5,318.5,147.0,7.0,4,0.1,5,51.769999999999996
0.82,612.5,318.5,147.0,7.0,5,0.1,5,51.55
0.79,637.0,343.0,147.0,7.0,2,0.1,5,72.02000000000001
0.79,637.0,343.0,147.0,7.0,3,0.1,5,70.89
0.79,637.0,343.0,147.0,7.0,4,0.1,5,79.91
0.79,637.0,343.0,147.0,7.0,5,0.1,5,76.74
0.76,661.5,416.5,122.5,7.0,2,0.1,5,66.56
0.76,661.5,416.5,122.5,7.0,3,0.1,5,67.56
0.76,661.5,416.5,122.5,7.0,4,0.1,5,66.1
0.76,661.5,416.5,122.5,7.0,5,0.1,5,67.15
0.74,686.0,245.0,220.5,3.5,2,0.1,5,24.12
0.74,686.0,245.0,220.5,3.5,3,0.1,5,23.81
0.74,686.0,245.0,220.5,3.5,4,0.1,5,24.060000000000002
0.74,686.0,245.0,220.5,3.5,5,0.1,5,23.89
0.71,710.5,269.5,220.5,3.5,2,0.1,5,24.96
0.71,710.5,269.5,220.5,3.5,3,0.1,5,24.45
0.71,710.5,269.5,220.5,3.5,4,0.1,5,24.93
0.71,710.5,269.5,220.5,3.5,5,0.1,5,27.58
0.69,735.0,294.0,220.5,3.5,2,0.1,5,25.76
0.69,735.0,294.0,220.5,3.5,3,0.1,5,25.42
0.69,735.0,294.0,220.5,3.5,4,0.1,5,25.57
0.69,735.0,294.0,220.5,3.5,5,0.1,5,25.55
0.66,759.5,318.5,220.5,3.5,2,0.1,5,25.92
0.66,759.5,318.5,220.5,3.5,3,0.1,5,26.15
0.66,759.5,318.5,220.5,3.5,4,0.1,5,25.87
0.66,759.5,318.5,220.5,3.5,5,0.1,5,26.21
0.64,784.0,343.0,220.5,3.5,2,0.1,5,34.4
0.64,784.0,343.0,220.5,3.5,3,0.1,5,34.55
0.64,784.0,343.0,220.5,3.5,4,0.1,5,34.38
0.64,784.0,343.0,220.5,3.5,5,0.1,5,34.65
0.62,808.5,367.5,220.5,3.5,2,0.1,5,26.83
0.62,808.5,367.5,220.5,3.5,3,0.1,5,26.71
0.62,808.5,367.5,220.5,3.5,4,0.1,5,26.79
0.62,808.5,367.5,220.5,3.5,5,0.1,5,26.77
0.98,514.5,294.0,110.25,7.0,2,0.25,1,57.94
0.98,514.5,294.0,110.25,7.0,3,0.25,1,57.94
0.98,514.5,294.0,110.25,7.0,4,0.25,1,57.650000000000006
0.98,514.5,294.0,110.25,7.0,5,0.25,1,57.9
0.9,563.5,318.5,122.5,7.0,2,0.25,1,68.8
0.9,563.5,318.5,122.5,7.0,3,0.25,1,66.65
0.9,563.5,318.5,122.5,7.0,4,0.25,1,65.55000000000001
0.9,563.5,318.5,122.5,7.0,5,0.25,1,69.58
0.86,588.0,294.0,147.0,7.0,2,0.25,1,63.519999999999996
0.86,588.0,294.0,147.0,7.0,3,0.25,1,58.66
0.86,588.0,294.0,147.0,7.0,4,0.25,1,59.72
0.86,588.0,294.0,147.0,7.0,5,0.25,1,63.39
0.82,612.5,318.5,147.0,7.0,2,0.25,1,57.010000000000005
0.82,612.5,318.5,147.0,7.0,3,0.25,1,55.11
0.82,612.5,318.5,147.0,7.0,4,0.25,1,54.22
0.82,612.5,318.5,147.0,7.0,5,0.25,1,57.58
0.79,637.0,343.0,147.0,7.0,2,0.25,1,82.47
0.79,637.0,343.0,147.0,7.0,3,0.25,1,77.84
0.79,637.0,343.0,147.0,7.0,4,0.25,1,76.71000000000001
0.79,637.0,343.0,147.0,7.0,5,0.25,1,84.56
0.76,661.5,416.5,122.5,7.0,2,0.25,1,73.81
0.76,661.5,416.5,122.5,7.0,3,0.25,1,73.71000000000001
0.76,661.5,416.5,122.5,7.0,4,0.25,1,74.36
0.76,661.5,416.5,122.5,7.0,5,0.25,1,73.05
0.74,686.0,245.0,220.5,3.5,2,0.25,1,27.619999999999997
0.74,686.0,245.0,220.5,3.5,3,0.25,1,28.0
0.74,686.0,245.0,220.5,3.5,4,0.25,1,27.689999999999998
0.74,686.0,245.0,220.5,3.5,5,0.25,1,27.95
0.71,710.5,269.5,220.5,3.5,2,0.25,1,27.990000000000002
0.71,710.5,269.5,220.5,3.5,3,0.25,1,28.5
0.71,710.5,269.5,220.5,3.5,4,0.25,1,28.009999999999998
0.71,710.5,269.5,220.5,3.5,5,0.25,1,28.44
0.69,735.0,294.0,220.5,3.5,2,0.25,1,27.990000000000002
0.69,735.0,294.0,220.5,3.5,3,0.25,1,28.560000000000002
0.69,735.0,294.0,220.5,3.5,4,0.25,1,28.21
0.69,735.0,294.0,220.5,3.5,5,0.25,1,28.5
0.66,759.5,318.5,220.5,3.5,2,0.25,1,29.560000000000002
0.66,759.5,318.5,220.5,3.5,3,0.25,1,29.45
0.66,759.5,318.5,220.5,3.5,4,0.25,1,29.560000000000002
0.66,759.5,318.5,220.5,3.5,5,0.25,1,29.37
0.64,784.0,343.0,220.5,3.5,2,0.25,1,38.629999999999995
0.64,784.0,343.0,220.5,3.5,3,0.25,1,38.540000000000006
0.64,784.0,343.0,220.5,3.5,4,0.25,1,38.61
0.64,784.0,343.0,220.5,3.5,5,0.25,1,38.45
0.62,808.5,367.5,220.5,3.5,2,0.25,1,30.86
0.62,808.5,367.5,220.5,3.5,3,0.25,1,31.07
0.62,808.5,367.5,220.5,3.5,4,0.25,1,30.85
0.62,808.5,367.5,220.5,3.5,5,0.25,1,30.92
0.98,514.5,294.0,110.25,7.0,2,0.25,2,58.290000000000006
0.98,514.5,294.0,110.25,7.0,3,0.25,2,58.260000000000005
0.98,514.5,294.0,110.25,7.0,4,0.25,2,58.36
0.98,514.5,294.0,110.25,7.0,5,0.25,2,58.620000000000005
0.9,563.5,318.5,122.5,7.0,2,0.25,2,68.02000000000001
0.9,563.5,318.5,122.5,7.0,3,0.25,2,65.91
0.9,563.5,318.5,122.5,7.0,4,0.25,2,65.1
0.9,563.5,318.5,122.5,7.0,5,0.25,2,69.38
0.86,588.0,294.0,147.0,7.0,2,0.25,2,62.709999999999994
0.86,588.0,294.0,147.0,7.0,3,0.25,2,57.760000000000005
0.86,588.0,294.0,147.0,7.0,4,0.25,2,59.17
0.86,588.0,294.0,147.0,7.0,5,0.25,2,62.92
0.82,612.5,318.5,147.0,7.0,2,0.25,2,54.01
0.82,612.5,318.5,147.0,7.0,3,0.25,2,52.94
0.82,612.5,318.5,147.0,7.0,4,0.25,2,52.099999999999994
0.82,612.5,318.5,147.0,7.0,5,0.25,2,54.82
0.79,637.0,343.0,147.0,7.0,2,0.25,2,82.43
0.79,637.0,343.0,147.0,7.0,3,0.25,2,77.6
0.79,637.0,343.0,147.0,7.0,4,0.25,2,76.74000000000001
0.79,637.0,343.0,147.0,7.0,5,0.25,2,84.94999999999999
0.76,661.5,416.5,122.5,7.0,2,0.25,2,73.82
0.76,661.5,416.5,122.5,7.0,3,0.25,2,73.63
0.76,661.5,416.5,122.5,7.0,4,0.25,2,74.14
0.76,661.5,416.5,122.5,7.0,5,0.25,2,73.26
0.74,686.0,245.0,220.5,3.5,2,0.25,2,27.08
0.74,686.0,245.0,220.5,3.5,3,0.25,2,27.549999999999997
0.74,686.0,245.0,220.5,3.5,4,0.25,2,27.34
0.74,686.0,245.0,220.5,3.5,5,0.25,2,27.740000000000002
0.71,710.5,269.5,220.5,3.5,2,0.25,2,27.240000000000002
0.71,710.5,269.5,220.5,3.5,3,0.25,2,27.689999999999998
0.71,710.5,269.5,220.5,3.5,4,0.25,2,27.14
0.71,710.5,269.5,220.5,3.5,5,0.25,2,27.810000000000002
0.69,735.0,294.0,220.5,3.5,2,0.25,2,28.369999999999997
0.69,735.0,294.0,220.5,3.5,3,0.25,2,28.72
0.69,735.0,294.0,220.5,3.5,4,0.25,2,28.39
0.69,735.0,294.0,220.5,3.5,5,0.25,2,28.939999999999998
0.66,759.5,318.5,220.5,3.5,2,0.25,2,28.94
0.66,759.5,318.5,220.5,3.5,3,0.25,2,28.78
0.66,759.5,318.5,220.5,3.5,4,0.25,2,28.99
0.66,759.5,318.5,220.5,3.5,5,0.25,2,28.869999999999997
0.64,784.0,343.0,220.5,3.5,2,0.25,2,37.61
0.64,784.0,343.0,220.5,3.5,3,0.25,2,37.4
0.64,784.0,343.0,220.5,3.5,4,0.25,2,37.5
0.64,784.0,343.0,220.5,3.5,5,0.25,2,37.54
0.62,808.5,367.5,220.5,3.5,2,0.25,2,29.66
0.62,808.5,367.5,220.5,3.5,3,0.25,2,30.3
0.62,808.5,367.5,220.5,3.5,4,0.25,2,29.740000000000002
0.62,808.5,367.5,220.5,3.5,5,0.25,2,29.9
0.98,514.5,294.0,110.25,7.0,2,0.25,3,58.1
0.98,514.5,294.0,110.25,7.0,3,0.25,3,58.34
0.98,514.5,294.0,110.25,7.0,4,0.25,3,58.27
0.98,514.5,294.0,110.25,7.0,5,0.25,3,58.82
0.9,563.5,318.5,122.5,7.0,2,0.25,3,67.98
0.9,563.5,318.5,122.5,7.0,3,0.25,3,67.5
0.9,563.5,318.5,122.5,7.0,4,0.25,3,65.50999999999999
0.9,563.5,318.5,122.5,7.0,5,0.25,3,64.75
0.86,588.0,294.0,147.0,7.0,2,0.25,3,61.92
0.86,588.0,294.0,147.0,7.0,3,0.25,3,62.33
0.86,588.0,294.0,147.0,7.0,4,0.25,3,57.81
0.86,588.0,294.0,147.0,7.0,5,0.25,3,58.89
0.82,612.5,318.5,147.0,7.0,2,0.25,3,53.47
0.82,612.5,318.5,147.0,7.0,3,0.25,3,53.24
0.82,612.5,318.5,147.0,7.0,4,0.25,3,52.32
0.82,612.5,318.5,147.0,7.0,5,0.25,3,51.58
0.79,637.0,343.0,147.0,7.0,2,0.25,3,84.17
0.79,637.0,343.0,147.0,7.0,3,0.25,3,82.00999999999999
0.79,637.0,343.0,147.0,7.0,4,0.25,3,77.57
0.79,637.0,343.0,147.0,7.0,5,0.25,3,76.69999999999999
0.76,661.5,416.5,122.5,7.0,2,0.25,3,72.06
0.76,661.5,416.5,122.5,7.0,3,0.25,3,73.03
0.76,661.5,416.5,122.5,7.0,4,0.25,3,72.92
0.76,661.5,416.5,122.5,7.0,5,0.25,3,73.81
0.74,686.0,245.0,220.5,3.5,2,0.25,3,26.29
0.74,686.0,245.0,220.5,3.5,3,0.25,3,25.82
0.74,686.0,245.0,220.5,3.5,4,0.25,3,26.700000000000003
0.74,686.0,245.0,220.5,3.5,5,0.25,3,26.45
0.71,710.5,269.5,220.5,3.5,2,0.25,3,27.33
0.71,710.5,269.5,220.5,3.5,3,0.25,3,27.02
0.71,710.5,269.5,220.5,3.5,4,0.25,3,27.67
0.71,710.5,269.5,220.5,3.5,5,0.25,3,27.13
0.69,735.0,294.0,220.5,3.5,2,0.25,3,27.259999999999998
0.69,735.0,294.0,220.5,3.5,3,0.25,3,26.840000000000003
0.69,735.0,294.0,220.5,3.5,4,0.25,3,27.75
0.69,735.0,294.0,220.5,3.5,5,0.25,3,27.29
0.66,759.5,318.5,220.5,3.5,2,0.25,3,28.5
0.66,759.5,318.5,220.5,3.5,3,0.25,3,28.810000000000002
